imageID,cc1,cc2,cc3,cc4,melanoom_truth
ISIC_0000000,-0.20864187324025485,-0.12481639752501483,-0.05921836306866035,-0.03667989729774451,0.0
ISIC_0000001,-0.5263510512108543,-0.0952812697615906,-0.04482514564787904,-0.02711078926269328,0.0
ISIC_0000002,-0.346271637409257,-0.09258412211483424,-0.0582136995076043,-0.05818760165513798,1.0
ISIC_0000003,-0.2680115658129549,-0.13883124670175145,-0.04549993042110023,-0.03493284525396295,0.0
ISIC_0000004,-0.3981207399005316,-0.11516754682322028,-0.06394872853157216,-0.04319498437330274,1.0
ISIC_0000006,-0.6059992017989146,-0.05449844638204826,-0.05050663100781211,-0.039277062072332364,0.0
ISIC_0000007,-0.510251280764479,-0.07868021718165352,-0.05068788194374496,-0.035347052697261155,0.0
ISIC_0000008,-0.2656760438534177,-0.11500845736804777,-0.05605712258471096,-0.04234915542222098,0.0
ISIC_0000009,-0.4610943849535316,-0.10433596563043174,-0.05988997917455588,-0.04550977348429666,0.0
ISIC_0000010,-0.5930141151897093,-0.08987350558616211,-0.03878212022226646,-0.02442972357241857,0.0
ISIC_0000011,-0.5047517462659152,-0.12053378440805726,-0.039488876369172726,-0.03366639012482686,0.0
ISIC_0000012,-0.5828901590226434,-0.0711508527404156,-0.040028130598818046,-0.03527653495542901,0.0
ISIC_0000013,-0.18496013120236016,-0.0673665407205738,-0.05108840377387247,-0.04132245191340067,1.0
ISIC_0000014,-0.431418235210293,-0.1063859399061553,-0.06634087147524251,-0.044747030222405365,0.0
ISIC_0000015,-0.40584702522970706,-0.12908089075756218,-0.055715586240410564,-0.05168109551957803,0.0
ISIC_0000016,-0.2973740564067366,-0.10871140744931562,-0.06097182613192165,-0.03730320059636502,0.0
ISIC_0000017,-0.5293444613658516,-0.09255861856786388,-0.04182442795537167,-0.027760362870077743,0.0
ISIC_0000018,-0.5228034334469309,-0.06741534055498077,-0.058389646045193144,-0.03577868641822857,0.0
ISIC_0000019,-0.4034527905209488,-0.15048572711825065,-0.050537669417269754,-0.03835388168172091,0.0
ISIC_0000020,-0.23172792406538223,-0.12100783375325092,-0.06847025983204463,-0.05580918124379203,0.0
ISIC_0000021,-0.29550117759031386,-0.1482133711467758,-0.05203086528625911,-0.05056385322197282,0.0
ISIC_0000022,-0.42576542751807167,-0.19460616124765276,-0.049527648181336675,-0.026682026432089,1.0
ISIC_0000023,-0.6722118684355601,-0.09078212549335415,-0.03917375803611467,-0.025739551841212516,0.0
ISIC_0000024,-0.4740745960425908,-0.14794143108955551,-0.053640826248568946,-0.0339347077560003,0.0
ISIC_0000025,-0.5881733645558558,-0.08893582297158126,-0.04577648900880271,-0.01813524154177265,0.0
ISIC_0000026,-0.3408998797793482,-0.11631335908955287,-0.06619831919563474,-0.05082480225964983,1.0
ISIC_0000027,-0.4865539067147583,-0.1612745674743595,-0.04002743708228357,-0.026693368249048166,0.0
ISIC_0000028,-0.33334313220641965,-0.084069152741444,-0.0528077477288052,-0.04330378946775845,0.0
ISIC_0000029,-0.1399365725126711,-0.07469096679943749,-0.04827764288365871,-0.024002146897074472,1.0
ISIC_0000030,-0.2063513066287228,-0.0856607593740929,-0.06709280135101292,-0.0343143378042392,1.0
ISIC_0000031,-0.3966421293595846,-0.10424050602827523,-0.04293970926227891,-0.02842384797331074,1.0
ISIC_0000032,-0.505938794305677,-0.12135981456389452,-0.0430701104128981,-0.034225448978947776,0.0
ISIC_0000034,-0.5667531438688083,-0.09003657977761698,-0.047151306390303516,-0.028083947742616577,0.0
ISIC_0000035,-0.4330386509739963,-0.10978464024648565,-0.06378919787411336,-0.0244586389366524,1.0
ISIC_0000036,-0.4271955965961282,-0.10161206679925977,-0.03627047864775387,-0.0321959697614736,1.0
ISIC_0000037,-0.13515725781332028,-0.09119418335147583,-0.0642088846392363,-0.052808296490829076,0.0
ISIC_0000038,-0.3481981140632686,-0.10439846841183592,-0.08289871061914258,-0.036290741015731265,0.0
ISIC_0000039,-0.35562868597664077,-0.12131102713045655,-0.05830861222175121,-0.03687856786617638,0.0
ISIC_0000040,-0.5411521605697691,-0.1164055224968647,-0.03869684434027576,-0.03260557208084269,1.0
ISIC_0000041,-0.4457252222966006,-0.10673348354679768,-0.0373690812848258,-0.030101020657728572,0.0
ISIC_0000042,-0.3033390051788782,-0.18161461382735727,-0.05465520402688437,-0.03438998549305822,0.0
ISIC_0000043,-0.2332287133469917,-0.07083552347134198,-0.05010842102023805,-0.04416162086487008,1.0
ISIC_0000044,-0.28583617179597187,-0.12567591165335523,-0.06116059773288873,-0.030180011030897486,0.0
ISIC_0000045,-0.2897976416285013,-0.1825488712982462,-0.07228084906582646,-0.04041875463542144,0.0
ISIC_0000046,-0.5268204209374254,-0.11255543757797185,-0.03474203856604677,-0.025910392543169458,1.0
ISIC_0000047,-0.349834121330145,-0.1157332660428056,-0.06770898472043785,-0.05151856865450691,0.0
ISIC_0000048,-0.27494103147178295,-0.181014500066151,-0.06583543565668623,-0.04743676509869646,0.0
ISIC_0000049,-0.16411168108395535,-0.1066522951702144,-0.10183988574049474,-0.05544461851017185,1.0
ISIC_0000050,-0.5315892924741026,-0.13563369668587377,-0.06145453449740684,-0.02109492638057789,0.0
ISIC_0000051,-0.30811093248044125,-0.1392519312397706,-0.07774085084904708,-0.04868282532571139,0.0
ISIC_0000052,-0.19749759091734526,-0.11819868327151711,-0.049812291510477,-0.034109752921771874,0.0
ISIC_0000053,-0.2537468578877319,-0.12167144750017794,-0.09009069638417233,-0.04883611232374857,0.0
